link;item;name;price;description;usage;country
https://goldapple.ru/83800200001-orange-x-santal;  Парфюмерная вода;  ESSENTIAL PARFUMS PARIS  orange x santal ;  8 600 ₽    6 880 ₽;Парфюмер – Natalie Gracia Cetto. «Я представила себе свежий и чувственный аромат, в котором искристые и сочные ноты горького апельсина из Италии играют с великолепным, нежным сандалом из Австралии». Orange X Santal – это светлый, радостный и чувственный аромат. Ноты горького апельсина и сандалового дерева, излучающие тепло и свет, переносят вас на побережье Италии. Сочная мякоть цитруса и лёгкая горечь его кожуры создают идеальную гармонию, которую дополняет зеленая нота базилика из Египта. Французский дубовый мох формирует шипровый аккорд, а кипарис из Франции и австралийский сандал закрепляют светлые верхние ноты. Создатели парфюмерной воды ESSENTIAL PARFUMS выбирают натуральные, экологически чистые материалы. Для производства Orange X Santal используется масло сандала, полученное в Западной Австралии. Это позволяет обеспечить постоянный доход для местных общин и стабильные поставки ценного ингредиента. ; ;Франция
https://goldapple.ru/19000156053-1-million;  Парфюмерная вода;  PACO RABANNE  1 million royal; от 9 172 ₽;Насыщенный, мужественный аромат от Paco Rabanne помогает выделиться и быть уверенным в своем стиле. \u003Cbr\u002F\u003EСогревающая, наполненная солнечной энергией композиция с аккордом кожи, щепоткой соли и изысканными цветочными нотами переносит в самый разгар лета, позволяет ощутить прикосновение сияющих лучей и накрывает волной чувственности и тепла. Аромат, для тех, кто не боится рисковать и быть ярким. ;Нанести на кожу, избегая попадания в глаза;Франция
https://goldapple.ru/19000117834-aqua-palmaris;  Туалетная вода;  LE COUVENT  aqua palmaris;  5 350 ₽    4 280 ₽;Аромат AQUA PALMARIS с пудрово-цветочным шлейфом посвящен красоте дворца и садов Альгамбры на рассвете. \u003Cbr\u002F\u003EВеликолепие архитектурного чуда Андалусии и фруктовых садов, освещенных лучами восходящего солнца, передают абсолют нероли и пудровые ноты. \u003Cbr\u002F\u003EВ опьяняющий пейзаж с цветущими апельсиновыми деревьями переносят цитрусы, украшенные нежностью мускуса. Уникальный аромат LE COUVENT, разработанный в традициях высокой французской парфюмерии, создан на основе насыщенных цветочных абсолютов.   ;Только для наружного применения. ;Франция
https://goldapple.ru/19000132894-peony-peppercorn;  Парфюмерная вода;  BANANA REPUBLIC  peony & peppercorn;  4 400 ₽    2 640 ₽;Peony & Peppercorn от Banana Republic – это цветочно-пряный аромат, который раскрывается пикантными нотами розового перца и свежестью бергамота. Верхние ноты плавно уступают место ароматному букету из элегантных розовых пионов и нежных лепестков розы, объединённых в сердце парфюмерной композиции. Мускус и древесные ноты делают аромат более многогранным и смелым. \u003Cp\u003EПарфюмер – Vincent Kuczinski.;Только для наружного применения.;Франция
https://goldapple.ru/19000092356-the-musc-by-calice-becker;  Парфюмированное жидкое мыло для рук и тела;  ESSENTIAL PARFUMS PARIS  the musc by calice becker;  2 800 ₽    2 380 ₽;Парфюмированное жидкое мыло ESSENTIAL PARFUMS PARIS мягко очищает руки и кожу тела, оставляя изысканный аромат. Средство с растительным глицерином питает кожу и не вызывает сухости после очищения. Экологичная и мягкая формула, подходящая даже для чувствительной кожи, на 98% состоит из натуральных ингредиентов. Нежный аромат мыла окутывает нотами чарующего мускуса и свежей французской лаванды в сочетании с имбирём, сандалом и легкой сладостью пчелиного воска.;нанесите на влажную кожу рук, вспеньте, затем смойте водой. Используйте в качестве геля для душа для очищения кожи тела. ;Франция
https://goldapple.ru/19000107440-soleil-the;  парфюмерная вода;  KENZO  la collection kenzo memori soleil thé; от 6 750 ₽;Золотой свет долгих летних дней сияет сквозь сёдзи*. Во время чаепития дети наслаждаются волшебным зрелищем: цветок распускается в чашке с горячей водой. Солнечное прочтение поэзии цветения, Soleil Thé – солнечная цветочная парфюмерная вода, наполненная энергией женьшеня и пудровой мягкостью ириса, расцветающего в лучах белого мускуса. Нежность лета на коже.\u003Cbr\u003E\u003Cbr\u003EКензо Такада вырос в традиционном чайном домике в Японии. Детство, наполненное тысячами ароматов. Этот драгоценный парфюмерный клад вдохновил Kenzo Parfums на создание коллекции La Collection Kenzo Memori, что в переводе с японского означает «воспоминание». La Collection Kenzo Memori объединяет 7 ароматов в концентрации парфюмерной воды, вдохновленных счастливыми моментами знаменитого дизайнера Кензо Такады. Это изысканные ароматы, пробуждающие эмоции и яркие воспоминания. В каждом аромате вы найдете что-то свое личное, близкое и понятное только вам.\u003Cbr\u003E\u003Cbr\u003EФлаконы ароматов La Collection Kenzo Memori вдохновлены формой кувшина для саке. Они содержат 15% переработанного стекла, а их упаковка изготовлена из бумаги с сертификатом FSC® (Forest Stewardship Council®). Чистые и утонченные линии флакона, дополненного светлой крышкой, напоминающей камень из японских садов, раскрывают каждую нежную ноту аромата.;Только для наружного применения; 
https://goldapple.ru/19000107442-flower-by-kenzo-l-absolue;  Парфюмерная вода;  KENZO  flower by kenzo l'absolue; от 7 575 ₽;«Я безумно люблю цветы», — говорил Кензо Такада.\u003Cbr\u002F\u003EВ женском аромате FLOWER BY KENZO L’Absolue воплощён мир, очарованный тысячами цветов. Мак открывает свое сердце, освещая мир вокруг.\u003Cbr\u002F\u003EНа культовом флаконе FLOWER BY KENZO драгоценными лепестками распускается темно-красный мак, а черный стебель напоминает о японской каллиграфии.\u003Cbr\u002F\u003EАБСОЛЮТНАЯ КРАСОТА АРОМАТА\u003Cbr\u002F\u003EМузой для мастера-парфюмера Альберто Морильяса вновь становится мак, который дарит всю силу своего характера аромату FLOWER BY KENZO L’Absolue.Драгоценные пряные ноты шафрана отчетливо звучат в сердце распускающегося букета из абсолю дамасской розы и цветка апельсина. Шлейф мускуса тонко подчеркивает чувственность нот ванили.Пряно-цветочная композиция аромата FLOWER BY KENZO L’Absolue получилась завораживающей и изысканной.\u003Cbr\u002F\u003EЭКО АКТИВНОСТЬ\u003Cbr\u002F\u003EНовый аромат раскрывает все грани личности героини FLOWER BY KENZO: эко активист с поэтичным взглядом на мир, так же, как и ее тотемный цветок, черпает силы в природе.\u003Cbr\u002F\u003EБренд пригласил Масами Шарлотту Лаво, садовода-урбаниста и основательницу первой цветочной фермы в Париже воплотить образ героини нового женского аромата.KENZO поддерживает ее проект, продвигающий максимально естественный и этичный процесс выращивания цветов.  \u003Cbr\u002F\u003EНаша общая цель - «сделать экологию неотразимой»!;Только для наружного применения; 
https://goldapple.ru/19000131312-desired-by-night;  Свеча ароматическая;  VELLUTIER  desired by night; от 3 375 ₽;Свечи Vellutier — Это дизайн, элегантность и история, описанная в ароматах.\u003Cbr\u003EЭто бархатистый воск высочайшего качества, изготовленный по специальному рецепту в уникальном стакане. Его утонченная форма с характерным срезом, образует идеальную фигуру с крышкой из натурального дерева.\u003Cbr\u003EГеральдический логотип, выгравированный на деревянной крышке, подчеркивает уникальность благородного материала, раскрывая его неповторимую структуру. Свечи Vellutier имеют специальный хлопковый фитиль, изготовленный с добавлением египетского хлопка. Для его изготовления мы используем хлопок высочайшего качества, который позволяет свече гореть красивым пламенем.\u003Cbr\u003EАроматы Vellutier — это тщательно подобранные элегантные композиции, которые переносят нас в далекие края, рассказывая через уникальные ноты, захватывающие истории о самых красивых уголках мира!\u003Cbr\u003EБудьте готовы к длинной ночи ! Кокетливое платье, высокие каблуки, закат, а за ним ночное звездное небо ! Почувствуйте свежесть страстной ночи , благодаря уникальной зажигательной композиции имбиря и кардамона в объятиях цветка туберозы, ветивера и пачули.; ; 
https://goldapple.ru/7431900001-dylan-blue;  Туалетная вода;  VERSACE  dylan blue ;  6 630 ₽    4 641 ₽;Туалетная вода Versace Dylan Blue воплощает в себе характер современного мужчины, привыкшего идти в ногу со временем. Яркий и насыщенный древесный аромат наполнен мужественностью и шармом. Верхние ноты туалетной воды включают в себя цитрусовые тона грейпфрута и бергамота в сочетании со свеже-сладким запахом фиговых листьев. Многогранный букет из листьев фиалки, древесины, черного перца, пачули и амброксана составляет ноты сердца Dylan Blue. Шлейф из ладана, шафрана, мускуса и бобов тонка завершает композицию. Парфюм от Versace окутает вас легкой дымкой чувственности и силы, наполнит день позитивными эмоциями и подарит ощущение легкости.; ; 
https://goldapple.ru/19000044567-deep-leather-les-eaux-d-un-instant-absolu;  Парфюмерная вода;  ANGEL SCHLESSER  deep leather les eaux d’un instant absolu;  6 800 ₽    4 080 ₽;Элегантная парфюмерная композиция Deep Leather, в которой чувственный кожаный аккорд играет с лёгкой искрящейся свежестью бергамота и нежной сладостью ванили, пробуждает жажду свободы и внутреннюю силу. Символ такой безграничной свободы - уверенный, раскованный всадник, который мчит на коне по пустому пляжу, слушая шум волн, оставив заботы позади и ощущая единение с природой. Аромат ANGEL SCHLESSER стал парфюмерным воплощением этого яркого образа. Глубокий и насыщенный кожаный аккорд с анималистическими оттенками, смягченный базовой нотой ванили, взывает к инстинктам и напоминает о том, каким сладким может быть чувство освобождения и лёгкости. \u003Cbr\u003EКлассификация аромата – кожаный. \u003Cbr\u003EПарфюмер – Hamid Merati-Kashani.; ;Италия
https://goldapple.ru/7430300004-crystal-noir;  Парфюмерная вода;  VERSACE  crystal noir;  10 500 ₽    7 350 ₽;Crystal noir — это «магический» аромат: неземной и одновременно чувственный. Дорогой, изысканный и стойкий, завораживающий вечной женственностью цветочных и восточных нот.Парфюмерная вода Versace Crystal Noir представлена модным домом в 2005 году. Crystal Noir относится к категории восточных и цветочных ароматов. Автор парфюмерной воды Антуан Ли создал запоминающуюся ароматическую композицию из имбиря, кардамона, пиона, гардении и амбры. Пряный аромат пиона завораживает и надолго остается в памяти. Ноты кардамона несут с собой изысканность и утонченность, а имбирь придает аромату выразительности.; ; 
https://goldapple.ru/28320100004-dancing-leaves;  Парфюмерная вода;  THE WOODS COLLECTION  dancing leaves;  10 050 ₽    8 040 ₽;Ольфактивная ода волшебству весны в лесу: молодые светло-зеленые листья, пение птиц, тёплые лучи солнца и легкий резвящийся ветер. Воздух наполняется цветочным ароматом, в котором переплетаются ноты розы, герани и белых цветов. Сандал и пачули возвещают о начале нового времени года и напоминают, что весна будет возвращаться вновь и вновь. ; ;Франция
https://goldapple.ru/83740100001-genua;  Парфюмерная вода;  PAGLIERI 1876  genua;  11 520 ₽    8 064 ₽;Парфюмерная вода Paglieri 1876 Genua гармонично дополнит ваш образ. Композиция раскрывается лимонной свежестью, которую оттеняют острота перца и изящество цветков оливы. В сердце парфюмерной воды бархатистый кедр, нежная мирра, пряный базилик и ветивер, а в ярко выраженном шлейфе аромата от Paglieri 1876 искрятся чувственные акценты сандала, пачули, ладана, смолы и кипариса.; ; 
https://goldapple.ru/19000161925-one-umbrella-for-two;  Парфюмерная вода;  FLORAÏKU  one umbrella for two ; от 31 860 ₽;Аромат из коллекции «О ча», посвященной древнему искусству заваривания чая и секретным сортам чайных листьев и специй. Гармония абсолю черной смородины, чая геммайча и кедрового масла рождает нежный, светлый аромат.\u003Cbr\u002F\u003EХайку, посвященное One umbrella for two:\u003Cbr\u002F\u003EМы смотрим на небо\u003Cbr\u002F\u003EДождя нет\u003Cbr\u002F\u003EОдин зонт на двоих;Парфюмерную воду следует наносить с расстояния 10-15 см. на тепловые точки: под коленями, область живота, запястья, сгибы локтей, район солнечного сплетения, точки за ушами, основание шеи со стороны спины, затылок. Как правило на одну точку достаточно один раз нажать на спрей. \u003Cbr\u002F\u003EРастирать парфюмерную воду не рекомендуется, так как это может нарушить правильный процесс раскрытия композиции. \u003Cbr\u002F\u003EДля повышения стойкости рекомендуем наносить на хорошо увлажненную кожу, комбинируя с кремом, молочком или маслом для тела.;Франция
https://goldapple.ru/19000110366-tobacco-volute;  Парфюмерная вода;  L'ATELIER PARFUM  tobacco volute;  12 000 ₽    9 600 ₽;Притягательный аромат L’ATELIER PARFUM окружает завораживающей дымкой с нотами табака, смягченными чувственной, сладкой ванилью и бобами тонка, которые делают композицию сбалансированной и добавляют легкий оттенок миндаля. Парфюмерная вода TOBACCO VOLUTE, напоминающая о моментах, посвященных человеком самому себе, и о маленьких удовольствиях, воплощает аромат деревянной коробки с лучшими сигарами, в которых помимо насыщенных табачных листьев ощущаются медовые ноты, теплый аккорд пшеницы и сена, а также лёгкая сладость. Ключевые ноты: табак, ваниль, бобы тонка. Парфюмер - ALEXIS DADIER. ;только для наружного применения.;Франция
https://goldapple.ru/19000155916-musk-malaki;  Парфюмерная вода ;  CHOPARD  musk malaki;  10 700 ₽    8 560 ₽;Насыщенный и манящий аромат Chopard – посвящение притягательной силе мускуса. \u003Cbr\u002F\u003EЧары соблазнения усиливаются благодаря смелому кожаному аккорду, теплой ноте кедра и щепотке перца, добавляющей остроту ощущениям. \u003Cbr\u002F\u003EПарфюмерная композиция, объединяющая традиции восточной и западной парфюмерии, окутывает чувственностью и дарит волшебный ольфакторный опыт. \u003Cbr\u002F\u003EПарфюмер – Nicolas Beaulieuu.;Только для наружного применения.;Италия
https://goldapple.ru/19000041893-603-cuir-encens-tonka;  Парфюмерная вода;  BON PARFUMEUR PARIS  603 – cuir, encens, tonka;  5 800 ₽    3 480 ₽;Кожа, ладан, бобы тонка – 3 характерные ноты аромата 603 от BON PARFUMEUR. Эту смелую древесную композицию открывает насыщенный тёмный аккорд в сочетании с цветочными и пряными нотами. Ладан делает этот аромат, подходящий и для расслабляющего дня в спа-салоне, и для шумной парижской вечеринки, интригующим и таинственным. Кожаный аккорд и бобы тонка придают композиции чувственность. Древесный аромат, заигрывающий с зелеными нотами и тёплым амбровым звучанием, удивляет насыщенностью и многогранностью.Верхние ноты: лимон, мускатный орех, лист фиалки, ладан  Ноты сердца: кипарис, шалфейБазовые ноты: ладанник, стиракс, кожа, бобы тонка, кашмеран ;только для наружного применения. ;Франция
https://goldapple.ru/28330100007-no-6-brume-radieuse;  Парфюмерная вода;  THOMAS KOSMALA  № 6 brume radieuse;  19 925 ₽    15 940 ₽;Сила уда обретает новую форму в смелой композиции, объединившей мускус, пачули, фруктовые и цветочные ноты. В сердце аромата THOMAS KOSMALA сочетаются персик, кокос и жасмин. Они смягчают смолистые базовые ноты амбры и уда, а лёгкость черной смородины и розы завершает чувственное погружение в игру света и тьмы. ; ;ОАЭ
https://goldapple.ru/19760300431-003-yuzu-feuilles-de-violette-vetiver;  Парфюмерная вода;  BON PARFUMEUR PARIS  003 - yuzu, feuilles de violette, vétiver;  7 600 ₽    4 560 ₽;Юзу, ветивер, листья фиалки – три характерные ноты аромата 003 от Bon Parfumeur. Одновременно воздушная и пикантная композиция с мятным оттенком освежает, словно прохладный мохито. Нежные свежие ноты, напоминающие зеленый чай, придают ей пьянящую лёгкость. За воздушным пудровым аккордом и изысканными белыми цветами скрываются игривые древесные ноты. Элеми усиливает все грани притягательного аромата, зовущего в освежающее ольфактивное путешествие.  Верхние ноты: бергамот, юзу, листья фиалки. Ноты сердца: жасмин, нероли, элеми. Базовые ноты: ветивер, мускус. ; ;Франция
https://goldapple.ru/7431400001-bright-crystal-absolu;  Парфюмерная вода ;  VERSACE   bright crystal absolu ;  7 310 ₽    5 117 ₽;Парфюмерная вода Versace Bright Crystal Absolu выпущен модным домом в 2014 году. Относится к категории цветочно-фруктовых запахов. Автор парфюмерной воды Альберто Мориллас создал запоминающуюся ароматический букет из граната, пиона, малины, лотоса, магнолии, амбры и махагони. Яркий гранатовый букет Versace оставляет после себя терпкий запах, заставляет почувствовать себя желанной. Чувственные ноты магнолии помогают набраться сил. Махагони придает аромату благородный оттенок.; ; 
https://goldapple.ru/19000165378-for-her-for-him;  Аромасвеча в стакане;  BARTEK  for her&for him; от 871 ₽;;;
https://goldapple.ru/19000051901-shanghai;  туалетная вода;  DICORA UF  shanghai ;  3 142 ₽    2 385 ₽;;;
https://goldapple.ru/28330100002-no-1-tonic-blanc;  Парфюмерная вода;  THOMAS KOSMALA  № 1 tonic blanc;  19 925 ₽    15 940 ₽;;;
https://goldapple.ru/19000002874-into-the-jungle;  Туалетная вода;  MANDARINA DUCK  into the jungle;  3 800 ₽    2 280 ₽;;;
